cheese,company,city,price,milk,country,origin,classification,texture,color,flavor,vegetarian,price_bins
ash chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,tangy,yes,less than $5
chebrie,rebel cheese,austin ,3.0,cashew,united states,vegan,soft,creamy,white,sharp,yes,less than $5
honee pistachio chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,nutty,yes,less than $5
blueberry vanilla chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,sweet,yes,less than $5
dill havarti,rebel cheese,austin ,2.5,cashew,united states,vegan,semi soft,creamy,white,sweet,yes,less than $5
garlic herb fromage,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,herby,yes,less than $5
cinnamon and cognac gjetost,rebel cheese,austin ,2.25,cashew,united states,vegan,semi soft,creamy,other colors,sweet,yes,less than $5
gruyere,rebel cheese,austin ,,other milk,united states,vegan,semi soft,compact,white,nutty,yes,
mozzarella,rebel cheese,austin ,2.0,cashew,united states,vegan,soft,creamy,white,tangy,yes,less than $5
parmesan,rebel cheese,austin ,2.25,cashew,united states,vegan,other classes,creamy,cream,umami,yes,less than $5
pepperjack,rebel cheese,austin ,2.25,cashew,united states,vegan,other classes,creamy,white,spicy,yes,less than $5
spanish paprika chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,smokey,yes,less than $5
sun-dried tomato herb fromage,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,herby,yes,less than $5
truffle brie,rebel cheese,austin ,3.0,cashew,united states,vegan,soft,creamy,pale yellow,umami,yes,less than $5
lemon dill black,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,tangy,yes,less than $5
smoked cheddar,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,yellow,smokey,yes,less than $5
brie,rebel cheese,austin ,3.0,cashew,united states,vegan,soft,creamy,white,nutty,yes,less than $5
truffle chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,umami,yes,less than $5
reine trufflehound,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,cream,umami,yes,less than $5
reine fauxgonzola,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,other colors,tart,yes,less than $5
reine heirloom tomato,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,other colors,herby,yes,less than $5
goat's revolt olive herb mozzarella,rebel cheese,austin ,2.25,other milk,united states,vegan,soft,creamy,cream,herby,yes,less than $5
fig and black pepper chevre,haute goat creamery,dallas area,7.95,goat,france,chevre,soft,creamy,white,tangy,no,$5-10
candied jalapenio chevre,haute goat creamery,dallas area,7.95,goat,france,chevre,soft,creamy,white,spicy,no,$5-10
basil pesto chevre,haute goat creamery,dallas area,7.95,goat,france,chevre,soft,creamy,white,spicy,no,$5-10
chimichurri chevre,haute goat creamery,dallas area,7.95,goat,france,chevre,soft,creamy,white,herby,no,$5-10
blueberry chipotle chevre,haute goat creamery,dallas area,7.95,goat,france,chevre,soft,creamy,white,sweet,no,$5-10
au naturel chevre,,,7.95,goat,france,chevre,soft,creamy,white,tart,no,$5-10
texas heat chevre,haute goat creamery,dallas area,7.95,goat,france,chevre,soft,creamy,white,spicy,no,$5-10
raw cow's milk gouda,haute goat creamery,dallas area,8.95,cow,united states,gouda,other classes,creamy,yellow,nutty,no,$5-10
feta,haute goat creamery,dallas area,9.5,goat,greece,feta,other classes,creamy,white,tangy,no,$5-10
sweet grass,haute goat creamery,dallas area,8.95,cow,united states,raw milk,semi soft,creamy,other colors,umami,no,$5-10
buttercup,haute goat creamery,dallas area,12.75,goat,united states,brie,soft,creamy,cream,buttery,no,$10-15
ghost pepper cheddar,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,pale yellow,spicy,no,$15-20
horseradish pecan cheddar,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,pale yellow,spicy,no,$15-20
truffle gold,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,cream,umami,no,$15-20
van sormon,brazos valley cheese,waco ,16.5,cow,united states,cheddar,semi hard,compact,cream,tangy,no,$15-20
black garlic havarti,brazos valley cheese,waco ,16.5,cow,united states,havarti,semi soft,creamy,pale yellow,buttery,no,$15-20
extra aged cheddar,brazos valley cheese,waco ,19.0,cow,england,cheddar,semi hard,compact,pale yellow,sharp,no,$15-20
montasio,brazos valley cheese,waco ,16.5,cow,italy,montasio,semi soft,creamy,pale yellow,sweet,no,$15-20
morel montasio,brazos valley cheese,waco ,16.5,cow,italy,montasio,semi soft,creamy,pale yellow,sweet,no,$15-20
parmesan,brazos valley cheese,waco ,16.5,cow,italy,parmesan,other classes,other textures,other colors,umami,no,$15-20
plain gouda,brazos valley cheese,waco ,16.5,cow,netherlands,gouda,semi hard,compact,yellow,nutty,no,$15-20
smoked gouda,brazos valley cheese,waco ,16.5,cow,netherlands,gouda,semi hard,compact,yellow,smokey,no,$15-20
smoked white cheddar,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,pale yellow,smokey,no,$15-20
brie,brazos valley cheese,waco ,16.5,cow,united states,brie,soft,creamy,cream,nutty,no,$15-20
feta,brazos valley cheese,waco ,15.0,cow,greece,feta,other classes,other textures,white,tangy,no,$10-15
marinated feta,brazos valley cheese,waco ,14.0,cow,greece,feta,other classes,other textures,white,herby,no,$10-15
marinated labneh,brazos valley cheese,waco ,14.0,cow,other country,labneh,soft,creamy,white,herby,no,$10-15
mountain maple brie,brazos valley cheese,waco ,22.5,cow,united states,brie,soft,creamy,cream,sweet,no,$20-30
orchard blue,brazos valley cheese,waco ,16.5,cow,united states,blue,semi soft,creamy,pale yellow,tangy,no,$15-20
