cheese,company,city,milk,country,origin,classification,texture,color,flavor,vegetarian,price_bins
truffle brie,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,pale yellow,umami,yes,less than $5
lemon dill black,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,white,tangy,yes,less than $5
smoked cheddar,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,yellow,smokey,yes,less than $5
brie,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,white,nutty,yes,less than $5
truffle chevre,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,white,umami,yes,less than $5
reine trufflehound,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,cream,umami,yes,less than $5
reine fauxgonzola,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,other colors,tart,yes,less than $5
reine heirloom tomato,rebel cheese,austin ,cashew,united states,vegan,soft,creamy,other colors,herby,yes,less than $5
goat's revolt olive herb mozzarella,rebel cheese,austin ,other milk,united states,vegan,soft,creamy,cream,herby,yes,less than $5
fig and black pepper chevre,haute goat creamery,other city,goat,france,chevre,soft,creamy,white,tangy,no,$5-10
candied jalapenio chevre,haute goat creamery,other city,goat,france,chevre,soft,creamy,white,spicy,no,$5-10
basil pesto chevre,haute goat creamery,other city,goat,france,chevre,soft,creamy,white,spicy,no,$5-10
chimichurri chevre,haute goat creamery,other city,goat,france,chevre,soft,creamy,white,herby,no,$5-10
blueberry chipotle chevre,haute goat creamery,other city,goat,france,chevre,soft,creamy,white,sweet,no,$5-10
au naturel chevre,,,goat,france,chevre,soft,creamy,white,tart,no,$5-10
texas heat chevre,haute goat creamery,other city,goat,france,chevre,soft,creamy,white,spicy,no,$5-10
raw cow's milk gouda,haute goat creamery,other city,cow,united states,gouda,other classes,creamy,yellow,nutty,no,$5-10
feta,haute goat creamery,other city,goat,greece,feta,other classes,creamy,white,tangy,no,$5-10
sweet grass,haute goat creamery,other city,cow,united states,raw milk,semi soft,creamy,other colors,umami,no,$5-10
buttercup,haute goat creamery,other city,goat,united states,brie,soft,creamy,cream,buttery,no,$10-15
ghost pepper cheddar,brazos valley cheese,waco ,cow,england,cheddar,semi hard,compact,pale yellow,spicy,no,$15-20
horseradish pecan cheddar,brazos valley cheese,waco ,cow,england,cheddar,semi hard,compact,pale yellow,spicy,no,$15-20
truffle gold,brazos valley cheese,waco ,cow,england,cheddar,semi hard,compact,cream,umami,no,$15-20
van sormon,brazos valley cheese,waco ,cow,united states,cheddar,semi hard,compact,cream,tangy,no,$15-20
black garlic havarti,brazos valley cheese,waco ,cow,united states,havarti,semi soft,creamy,pale yellow,buttery,no,$15-20
extra aged cheddar,brazos valley cheese,waco ,cow,england,cheddar,semi hard,compact,pale yellow,sharp,no,$15-20
montasio,brazos valley cheese,waco ,cow,italy,montasio,semi soft,creamy,pale yellow,sweet,no,$15-20
morel montasio,brazos valley cheese,waco ,cow,italy,montasio,semi soft,creamy,pale yellow,sweet,no,$15-20
parmesan,brazos valley cheese,waco ,cow,italy,parmesan,other classes,other textures,other colors,umami,no,$15-20
plain gouda,brazos valley cheese,waco ,cow,netherlands,gouda,semi hard,compact,yellow,nutty,no,$15-20
smoked gouda,brazos valley cheese,waco ,cow,netherlands,gouda,semi hard,compact,yellow,smokey,no,$15-20
smoked white cheddar,brazos valley cheese,waco ,cow,england,cheddar,semi hard,compact,pale yellow,smokey,no,$15-20
brie,brazos valley cheese,waco ,cow,united states,brie,soft,creamy,cream,nutty,no,$15-20
feta,brazos valley cheese,waco ,cow,greece,feta,other classes,other textures,white,tangy,no,$10-15
marinated feta,brazos valley cheese,waco ,cow,greece,feta,other classes,other textures,white,herby,no,$10-15
marinated labneh,brazos valley cheese,waco ,cow,other country,labneh,soft,creamy,white,herby,no,$10-15
mountain maple brie,brazos valley cheese,waco ,cow,united states,brie,soft,creamy,cream,sweet,no,$20-30
orchard blue,brazos valley cheese,waco ,cow,united states,blue,semi soft,creamy,pale yellow,tangy,no,$15-20
