cheese,company,city,price,milk,country,origin,classification,texture,color,flavor,vegetarian
cinnamon and cognac gjetost,rebel cheese,austin ,2.25,cashew,united states,vegan,semi soft,creamy,brown,sweet,yes
gruyere,rebel cheese,austin ,,almond,united states,vegan,semi soft,compact,white,nutty,yes
mozzarella,rebel cheese,austin ,2,cashew,united states,vegan,soft,creamy,white,tangy,yes
parmesan,rebel cheese,austin ,2.25,cashew,united states,vegan,hard,creamy,cream,umami,yes
pepperjack,rebel cheese,austin ,2.25,cashew,united states,vegan,firm,creamy,white,spicy,yes
spanish paprika chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,smokey,yes
sun-dried tomato herb fromage,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,herby,yes
truffle brie,rebel cheese,austin ,3,cashew,united states,vegan,soft,creamy,pale yellow,umami,yes
lemon dill black,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,tangy,yes
smoked cheddar,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,yellow,smokey,yes
brie,rebel cheese,austin ,3,cashew,united states,vegan,soft,creamy,white,nutty,yes
truffle chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,umami,yes
reine trufflehound,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,cream,umami,yes
reine fauxgonzola,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,blue,tart,yes
reine heirloom tomato,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,red,herby,yes
goat's revolt olive herb mozzarella,rebel cheese,austin ,2.25,soy,united states,vegan,soft,creamy,cream,herby,yes
fig and black pepper chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,tangy,no
candied jalapenio chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,spicy,no
basil pesto chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,spicy,no
chimichurri chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,herby,no
blueberry chipotle chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,sweet,no
au naturel chevre,,,7.95,goat,france,chevre,soft,creamy,white,tart,no
texas heat chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,spicy,no
raw cow's milk gouda,haute goat creamery,white oak ,8.95,cow,united states,gouda,sem ihard,creamy,yellow,nutty,no
feta,haute goat creamery,white oak ,9.5,goat,greece,feta,soft brined,creamy,white,tangy,no
sweet grass,haute goat creamery,white oak ,8.95,cow,united states,raw milk,semi soft,creamy,straw,umami,no
buttercup,haute goat creamery,white oak ,12.75,goat,united states,brie,soft,creamy,cream,buttery,no
ghost pepper cheddar,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,pale yellow,spicy,no
horseradish pecan cheddar,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,pale yellow,spicy,no
truffle gold,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,cream,umami,no
van sormon,brazos valley cheese,waco ,16.5,cow,united states,cheddar,semi hard,compact,cream,tangy,no
black garlic havarti,brazos valley cheese,waco ,16.5,cow,united states,havarti,semi soft,creamy,pale yellow,buttery,no
extra aged cheddar,brazos valley cheese,waco ,19,cow,england,cheddar,semi hard,compact,pale yellow,sharp,no
montasio,brazos valley cheese,waco ,16.5,cow,italy,montasio,semi soft,creamy,pale yellow,sweet,no
morel montasio,brazos valley cheese,waco ,16.5,cow,italy,montasio,semi soft,creamy,pale yellow,sweet,no
parmesan,brazos valley cheese,waco ,16.5,cow,italy,parmesan,hard,crumbly,straw,umami,no
plain gouda,brazos valley cheese,waco ,16.5,cow,netherlands,gouda,semi hard,compact,yellow,nutty,no
smoked gouda,brazos valley cheese,waco ,16.5,cow,netherlands,gouda,semi hard,compact,yellow,smokey,no
smoked white cheddar,brazos valley cheese,waco ,16.5,cow,england,cheddar,semi hard,compact,pale yellow,smokey,no
brie,brazos valley cheese,waco ,16.5,cow,united states,brie,soft,creamy,cream,nutty,no
feta,brazos valley cheese,waco ,15,cow,greece,feta,soft brined,crumbly,white,tangy,no
marinated feta,brazos valley cheese,waco ,14,cow,greece,feta,soft brined,crumbly,white,herby,no
marinated labneh,brazos valley cheese,waco ,14,cow,middle east,labneh,soft,creamy,white,herby,no
mountain maple brie,brazos valley cheese,waco ,22.5,cow,united states,brie,soft,creamy,cream,sweet,no
orchard blue,brazos valley cheese,waco ,16.5,cow,united states,blue,semi soft,creamy,pale yellow,tangy,no
